1,0
5,64750657285492
8,04419734300933
12,2547470105111
14,7249452764691
18,6459689612428
22,3049832342093
26,0374333674149
29,9250123497799
33,2573430883623
36,7184325510715
40,4873937053704
45,0166041002862
49,8791327782521
56,0748329709824
61,9059651050619
66,7993239160104
69,9973904325797
72,9388617690412
72,6866929779969
72,3631940745276
72,0396951710582
66,0258496100123
57,7451505030957
50,9677186339842
44,7719775034372
39,9096080219808
35,285314069001
29,7771988328462
22,9893335338816
19,0953664647148
14,3967041817766
7,60361252352756
1,80901498167882
-4,98475168242706
-13,2781669150528
-22,0720597407639
-29,7311665857571
-38,3185781554701
-46,3228023842553
-50,4972880072497
-57,0389635553753
-63,8328297786852
-70,7511453023462
-76,2101391825704
-81,428712048581
-89,0138390590831
-95,867748846759
-97,9947456208776
-97,6173263949826
-97,2399071690876
-95,3493347951548
-90,2299606397254
-83,8729333361596
-75,2867126925089
-66,3495971809035
-59,0554809843385
-51,5235810091509
-40,9681288385989
-31,348913052731
-21,7617131959133
-13,0872217645699
-4,29355015188336
