Name:360 rechts;
Device:None;
Time:1531139241.963207;Event:rotate;Location:None;Value:4.00000166659792;Sum:4.00000166659792;
Time:1531139242.00359;Event:rotate;Location:None;Value:2.01945375934169;Sum:6.01945542593961;
Time:1531139242.04397;Event:rotate;Location:None;Value:2.07742597505877;Sum:8.09688140099838;
Time:1531139242.08435;Event:rotate;Location:None;Value:5.42925141192022;Sum:13.5261328129186;
Time:1531139242.12473;Event:rotate;Location:None;Value:7.1552192074555;Sum:20.6813520203741;
Time:1531139242.16511;Event:rotate;Location:None;Value:2.8839264252187;Sum:23.5652784455928;
Time:1531139242.20549;Event:rotate;Location:None;Value:6.1503532052828;Sum:29.7156316508756;
Time:1531139242.24587;Event:rotate;Location:None;Value:8.0635507564612;Sum:37.7791824073368;
Time:1531139242.28625;Event:rotate;Location:None;Value:6.7305028042595;Sum:44.5096852115963;
Time:1531139242.32663;Event:rotate;Location:None;Value:7.9203097600043;Sum:52.4299949716006;
Time:1531139242.36701;Event:rotate;Location:None;Value:5.5398600007341;Sum:57.9698549723347;
Time:1531139242.40739;Event:rotate;Location:None;Value:4.3800730931328;Sum:62.3499280654675;
Time:1531139242.44778;Event:rotate;Location:None;Value:4.2233584292377;Sum:66.5732864947052;
Time:1531139242.48816;Event:rotate;Location:None;Value:3.8404928431471;Sum:70.4137793378523;
Time:1531139242.52854;Event:rotate;Location:None;Value:5.1443451588903;Sum:75.5581244967426;
Time:1531139242.56892;Event:rotate;Location:None;Value:9.874090120908;Sum:85.4322146176506;
Time:1531139242.60930;Event:rotate;Location:None;Value:10.2525181915818;Sum:95.6847328092324;
Time:1531139242.64968;Event:rotate;Location:None;Value:4.4058634455476;Sum:100.09059625478;
Time:1531139242.69006;Event:rotate;Location:None;Value:0.252370373207;Sum:100.342966627987;
Time:1531139242.73044;Event:rotate;Location:None;Value:0.252370373208;Sum:100.595337001195;
Time:1531139242.77082;Event:rotate;Location:None;Value:0.252370373207;Sum:100.847707374402;
Time:1531139242.81120;Event:rotate;Location:None;Value:0.252370373207;Sum:101.100077747609;
Time:1531139242.85158;Event:rotate;Location:None;Value:0.252370373208;Sum:101.352448120817;
Time:1531139242.89196;Event:rotate;Location:None;Value:0.252370373207;Sum:101.604818494024;
Time:1531139242.93234;Event:rotate;Location:None;Value:0.252370373207;Sum:101.857188867231;
Time:1531139242.97272;Event:rotate;Location:None;Value:0.252370373208;Sum:102.109559240439;
Time:1531139243.01311;Event:rotate;Location:None;Value:0.252432872062;Sum:102.361992112501;
Time:1531139243.05349;Event:rotate;Location:None;Value:0.252370373207;Sum:102.614362485708;
Time:1531139243.09387;Event:rotate;Location:None;Value:0.252370373207;Sum:102.866732858915;
Time:1531139243.13425;Event:rotate;Location:None;Value:0.252370373208;Sum:103.119103232123;
Time:1531139243.17463;Event:rotate;Location:None;Value:0.252370373207;Sum:103.37147360533;
Time:1531139243.21501;Event:rotate;Location:None;Value:0.252370373208;Sum:103.623843978538;
Time:1531139243.25539;Event:rotate;Location:None;Value:0.252370373207;Sum:103.876214351745;
Time:1531139243.29577;Event:rotate;Location:None;Value:3.551520920842;Sum:107.427735272587;
Time:1531139243.33615;Event:rotate;Location:None;Value:7.809860394349;Sum:115.237595666936;
Time:1531139243.37653;Event:rotate;Location:None;Value:10.097206553722;Sum:125.334802220658;
