1
2,80167019506441
8,32662374195162
14,4930439853382
16,9688251246832
16,8613973938359
16,7539696629885
16,6465328741538
16,5391051433064
16,4316774124591
16,3242406236243
16,2168128927770
16,1093851619296
16,0019574310823
12,1471973327777
6,90466518763866
1,39820471262935
-8,03220551378446
-20,8595547773887
-35,6847105888236
-43,5093820365274
-54,6672284644195
-55,9439240654011
-62,9859772129711
-72,8125781445361
-81,8790732561047
-86,8201049387857
-88,5604111380332
-89,45556875
-91,1873562643736
-91,9318900316456
-91,8380530063291
-91,7442238924051
-91,6503947784810
-91,5565577531646
-91,4627286392405
-91,3688995253165
-91,2750704113924
-91,1812333860759
-91,0874042721519
-90,7968937575030
-89,0964607116074
-85,0830676917307
-78,7531843156843
-71,3408508777410
-62,4279825109307
-50,0296769346356
-39,2047726136932
-30,6723795834831
-24,7773471683960
-15,8648276724839
-7,98062984253937
-3,61584054419047
0,349276195714679
2,04007924481811
2,14674320164533
2,25339816564253
2,36005312963974
2,46670809363694
2,57337205046416
2,68002701446137
2,78668197845858
2,89334593528580
